Q+A, 10 : 1-10,10,0,0,0	Q+K, 10 : 2-0,0,0,10,10		Q+J, 10 : 2-0,0,10,9,0	Q+10, 10 : 34-0,0,0,0,4	Q+9, 10 : 26-0,9,0,0,8	Q+8, 10 : 15-0,0,0,10,9	Q+7, 10 : 27-0,8,0,0,7	Q+6, 10 : 24-0,5,0,0,0	Q+5, 10 : 35-0,0,0,9,4	Q+4, 10 : 34-0,0,0,0,7	Q+3, 10 : 2-0,0,0,0,6	Q+2, 10 : 2-0,4,8,0,0

J+A, 3 : 21-0,0,3,0,2	J+K, 3 : 37-3,0,0,0,3	J+Q, 3 : 18-3,0,0,0,0			J+9, 3 : 21-0,3,0,0,0	J+8, 3 : 40-1,3,0,0,3	J+7, 3 : 34-0,3,0,0,0	J+6, 3 : 27-0,0,1,0,2	J+5, 3 : 17-1,3,3,0,3	J+4, 3 : 26-0,3,0,0,0		J+2, 3 : 17-2,1,1,0,3
J+A, 4 : 20-0,0,4,3,0	J+K, 4 : 33-0,0,2,0,0	J+Q, 4 : 25-4,0,0,0,0		J+10, 4 : 13-0,0,3,1,0	J+9, 4 : 16-0,0,0,4,0	J+8, 4 : 39-2,0,2,0,0	J+7, 4 : 25-0,0,0,0,4	J+6, 4 : 29-4,0,0,1,0	J+5, 4 : 12-0,2,0,3,4	J+4, 4 : 21-0,0,0,4,0	J+3, 4 : 28-0,1,4,0,0	J+2, 4 : 12-0,4,0,0,4
J+A, 5 : 26-0,2,0,0,0	J+K, 5 : 28-0,0,0,5,0	J+Q, 5 : 20-4,0,0,5,0		J+10, 5 : 19-0,2,4,0,0	J+9, 5 : 8-5,0,5,0,0	J+8, 5 : 31-0,0,5,3,0	J+7, 5 : 21-3,0,5,0,0	J+6, 5 : 19-0,0,0,0,2	J+5, 5 : 8-0,0,5,0,0	J+4, 5 : 13-0,5,5,0,0	J+3, 5 : 28-0,0,3,0,2	J+2, 5 : 11-0,0,3,0,2
J+A, 6 : 19-5,0,4,0,0	J+K, 6 : 25-0,2,0,0,0	J+Q, 6 : 6-0,0,0,0,3		J+10, 6 : 20-0,6,0,0,5	J+9, 6 : 18-0,4,0,0,6	J+8, 6 : 29-4,0,0,0,0	J+7, 6 : 17-0,0,4,0,5	J+6, 6 : 18-0,0,4,0,6	J+5, 6 : 6-6,0,0,0,3	J+4, 6 : 8-0,0,4,6,0	J+3, 6 : 30-3,5,0,0,0	J+2, 6 : 3-0,6,0,3,0
J+A, 7 : 17-0,0,0,3,6	J+K, 7 : 27-0,0,7,0,7	J+Q, 7 : 5-0,0,3,0,7		J+10, 7 : 34-0,7,0,6,0	J+9, 7 : 14-0,0,7,6,0	J+8, 7 : 12-0,6,0,7,0	J+7, 7 : 16-0,0,0,4,5	J+6, 7 : 27-0,0,7,0,3	J+5, 7 : 6-0,0,0,6,0	J+4, 7 : 19-5,0,5,0,0	J+3, 7 : 27-6,0,0,0,5	J+2, 7 : 5-0,0,2,0,7
J+A, 8 : 8-0,0,7,0,8	J+K, 8 : 3-0,0,5,6,0	J+Q, 8 : 33-0,0,0,7,8		J+10, 8 : 1-0,0,0,0,0	J+9, 8 : 33-0,0,0,8,0	J+8, 8 : 9-0,0,0,0,6	J+7, 8 : 1-0,6,6,0,0	J+6, 8 : 17-0,8,0,0,8	J+5, 8 : 33-0,0,0,0,5	J+4, 8 : 33-0,0,5,0,7	J+3, 8 : 0-0,0,0,0,8	J+2, 8 : 44-0,0,0,0,8
J+A, 9 : 6-0,0,0,2,0	J+K, 9 : 6-5,0,0,9,0	J+Q, 9 : 4-8,0,0,9,0		J+10, 9 : 24-0,8,0,9,0	J+9, 9 : 48-0,0,9,0,0	J+8, 9 : 32-0,8,0,0,0	J+7, 9 : 40-0,0,0,8,0	J+6, 9 : 49-0,0,0,0,0	J+5, 9 : 4-0,5,0,9,0	J+4, 9 : 31-7,0,5,0,0	J+3, 9 : 5-0,9,0,0,0	J+2, 9 : 6-9,0,0,0,9
J+A, 10 : 4-0,0,10,7,7	J+K, 10 : 3-0,10,0,0,0	J+Q, 10 : 2-0,0,10,9,0		J+10, 10 : 14-0,9,0,0,7	J+9, 10 : 26-0,5,0,0,0	J+8, 10 : 36-10,0,0,0,9	J+7, 10 : 36-0,0,10,0,9	J+6, 10 : 29-0,0,9,0,7	J+5, 10 : 39-0,0,10,0,6	J+4, 10 : 31-0,8,0,10,0	J+3, 10 : 30-10,0,0,0,6	J+2, 10 : 23-0,8,9,0,0
